Date,Close/Last,Volume,Open,High,Low
01/30/2026,444.95,86593520,466.245,470.06,430.80
01/29/2026,495.90,69970860,509.51,509.70,468.51
01/28/2026,494.56,44154580,483.39,495.88,481.2501
01/27/2026,476.10,28386220,465.07,476.49,463.95
01/26/2026,464.70,34155970,466.78,469.28,460.36
01/23/2026,458.00,21531870,454.11,458.75,453.45
01/22/2026,451.79,19251190,443.84,452.9841,443.56
01/21/2026,443.60,38830230,446.87,447.9999,437.11
01/20/2026,437.23,21308140,436.69,438.1399,434.10
01/16/2026,421.29,20951570,422.80,424.80,417.04
01/15/2026,423.33,14253250,423.02,425.06,422.79
01/14/2026,425.94,18305540,426.03,426.86,422.8398
01/13/2026,421.63,16681220,424.59,426.12,420.07
01/12/2026,422.23,20904130,421.52,425.74,421.52
01/09/2026,414.47,14011240,413.215,415.29,411.80
01/08/2026,411.49,8705926,406.965,411.64,406.40
01/07/2026,409.23,10589450,408.63,410.81,406.65
01/06/2026,413.18,11640910,410.67,413.48,410.31
01/05/2026,408.76,13410640,406.39,409.72,406.15
01/02/2026,398.28,10372570,401.62,401.82,396.25
12/31/2025,396.31,10194740,398.60,400.13,395.59
12/30/2025,398.89,10179030,403.60,403.80,398.56
12/29/2025,398.60,20679240,403.66,403.76,395.33
12/26/2025,416.74,10476230,416.48,418.45,414.75
12/24/2025,411.93,6718437,412.25,412.63,408.83
12/23/2025,413.64,13193260,410.30,413.76,407.10
12/22/2025,408.23,14202070,406.98,408.52,405.72
12/19/2025,399.02,9894767,397.92,400.63,397.17
12/18/2025,398.57,11837550,398.28,402.21,396.05
12/17/2025,399.29,10456890,398.08,399.98,397.25
12/16/2025,395.89,9201557,397.75,398.71,394.59
12/15/2025,395.80,11345030,397.76,398.71,394.0738
12/12/2025,395.44,16792060,399.155,400.39,391.47
12/11/2025,393.24,11240630,389.02,394.09,388.50
12/10/2025,389.05,9120475,385.95,389.76,384.50
12/09/2025,387.40,6358694,385.62,388.21,385.27
12/08/2025,385.42,6822119,387.02,387.2418,384.01
12/05/2025,386.44,9449808,389.12,391.735,386.175
12/04/2025,387.13,6754434,386.92,388.00,385.40
12/03/2025,386.88,7886793,388.46,390.1293,385.83
12/02/2025,387.24,8103923,388.87,388.98,382.9103
12/01/2025,389.75,11177070,390.61,390.7001,388.0605
11/28/2025,387.88,7175407,385.98,388.00,384.99
11/26/2025,383.12,9184071,381.055,383.775,380.46
11/25/2025,380.08,10462810,380.255,382.52,378.06
11/24/2025,380.20,10085320,374.88,380.28,374.19
11/21/2025,374.27,13194560,374.025,377.23,372.94
11/20/2025,374.85,10506550,375.29,377.6925,371.8514
11/19/2025,374.96,10980420,377.775,380.17,373.03
11/18/2025,374.35,7818783,374.832,375.54,371.62
