date,log_return
2024-02-13,0.0037409799628455756
2024-02-14,0.012519145097920972
2024-02-15,-0.0056862429047301755
2024-02-20,-0.007168844524516515
2024-02-21,0.00725130273194987
2024-02-22,0.0046022370546121025
2024-02-26,-0.0005255810878563956
2024-02-27,0.0032280224908759285
2024-02-28,0.011634583912726695
2024-02-29,0.01128448073349516
2024-03-04,-0.0086218957110963
2024-03-05,0.012657027290411012
2024-03-06,0.008518770040500497
2024-03-07,-0.00443502427863976
2024-03-11,0.005916759048113393
2024-03-12,0.0016598681551023523
2024-03-13,-0.009681461732963163
2024-03-14,-0.00779000236330319
2024-03-18,0.0006906463149546501
2024-03-19,0.005515538824028414
2024-03-20,-0.0035127093339062023
2024-03-21,-0.005782067454217539
2024-03-25,-0.0032136811794722863
2024-03-26,0.014351797497048513
2024-03-27,0.005866282820000341
2024-04-01,-0.006039463472662239
2024-04-02,0.0015221156751189337
2024-04-03,-0.017295247325778182
2024-04-04,0.009618400576885587
2024-04-08,0.009728209543440086
2024-04-09,-0.0149484505215693
2024-04-10,0.005643206775794825
2024-04-11,-0.021060843444968416
2024-04-15,-0.011767873931873809
2024-04-16,-0.0037368158995259625
2024-04-17,0.0013325457031126075
2024-04-18,-0.0009599765879310224
2024-04-22,0.01132904924657557
2024-04-23,-0.0005298324406494239
2024-04-24,-0.0053669053169042484
2024-04-25,0.0013267491056261687
2024-04-29,-0.0018906111376975785
2024-04-30,-0.0013147554825597226
2024-05-01,0.006679236984779196
2024-05-02,0.0066145954083105495
2024-05-06,0.008624890316725375
2024-05-07,-0.0011067606458857607
2024-05-08,0.003972774611858076
2024-05-09,-0.0043880397401232195
2024-05-13,0.0065007852207044055
2024-05-14,0.010339185166567861
2024-05-15,0.00364170713862157
2024-05-16,0.005825896647539842
2024-05-20,-0.005407552633212716
2024-05-21,-0.0039825516307180715
2024-05-22,-0.01318668657952794
2024-05-23,0.005396055017084059
2024-05-28,-0.010846587410326333
2024-05-29,-0.006810315433632815
2024-05-30,0.004645222220986164
2024-06-03,-0.008683137044962201
2024-06-04,0.007204155564230871
2024-06-05,0.0014095182967854014
2024-06-06,-0.0033277151547018644
2024-06-10,-0.002975426012487149
2024-06-11,0.00015579805643660657
2024-06-12,-0.006340219370257686
2024-06-13,0.0036621883808832267
2024-06-17,-0.0004341160763242125
2024-06-20,0.005270722504015616
2024-06-24,-0.003509687598881492
2024-06-25,-0.0007690622287944504
2024-06-26,0.0019560561318211103
2024-06-27,-0.0039002442835985507
2024-07-01,-0.0007831297990506579
2024-07-02,0.0036306616027238538
2024-07-08,-0.0025948157680941207
2024-07-09,0.011239096470050489
2024-07-10,0.011826967085052618
2024-07-11,0.005657336874168556
2024-07-15,0.0076589868576817065
2024-07-16,-0.009566267345884933
2024-07-17,-0.010369831253493715
2024-07-18,-0.00567219163709176
2024-07-22,-0.0029388600725897673
2024-07-23,-0.0069786016833029395
2024-07-24,-0.0035456310949393962
2024-07-25,0.019252238765400564
2024-07-29,0.002807555192102226
2024-07-30,0.0070544596030421855
2024-07-31,-0.0009364732299792138
2024-08-01,-0.016081597020660178
2024-08-05,-0.016970436982214322
2024-08-06,-0.011936393257728549
2024-08-07,0.013320801478906928
2024-08-08,0.004304888683791263
2024-08-12,0.0032037509319949344
2024-08-13,-0.0031286709243248554
2024-08-14,0.015877558466466324
2024-08-15,0.0029160912265698566
2024-08-19,0.010040158315872613
2024-08-20,0.007746297931929196
2024-08-21,-0.0056764641311667875
2024-08-22,0.01157456816280077
2024-08-26,-0.0022300835223843913
2024-08-27,-0.005803822197607317
2024-08-28,0.004895261880091338
2024-08-29,0.0034847630302626918
2024-09-03,-0.014804323719900947
2024-09-04,-0.005723157917576627
2024-09-05,-0.015617025726732195
2024-09-09,0.015105175779158181
2024-09-10,0.014376626592290848
2024-09-11,0.006674063525809526
2024-09-12,0.002263029755181786
